"TT","MaxValue","log_MaxValue","TT_numeric"
"TT_134",0.505608287696486,-0.681993044479074,134
"TT_135",0.258997460771237,-1.35093702130271,135
"TT_136",0.19572117170273,-1.63106422595166,136
"TT_137",0.16453573944592,-1.80462747130505,137
"TT_138",0.145186998840625,-1.92973272026547,138
"TT_139",0.131882269563821,-2.02584565161654,139
"TT_140",0.122141076253204,-2.10257853959011,140
"TT_141",0.114692043444607,-2.16550462565215,141
"TT_142",0.108808832621753,-2.21816276567016,142
"TT_143",0.104044211455676,-2.26293936002376,143
"TT_144",0.5226204593213,-0.648899777558792,144
"TT_145",0.357173745708643,-1.02953293293683,145
"TT_146",0.17375493173478,-1.75010941085499,146
"TT_147",0.338007019333597,-1.08468861645559,147
"TT_148",0.368626544809628,-0.997971221120643,148
"TT_149",0.143391131461745,-1.94217919748679,149
"TT_150",0.119559171456642,-2.12394387152817,150
"TT_151",0.110861683203062,-2.19947195196428,151
"TT_152",0.104899067895805,-2.25475664926469,152
"TT_153",0.192040352630606,-1.65004975908589,153
"TT_154",0.289920592643029,-1.23814821196905,154
"TT_155",0.139363803045408,-1.97066747688887,155
"TT_156",0.118330639834539,-2.13427254039553,156
"TT_157",0.108630315747687,-2.21980475990638,157
"TT_158",0.253578762398187,-1.37208080441248,158
"TT_159",0.141362534981465,-1.95642751832542,159
"TT_160",0.295273718456704,-1.21985249366229,160
"TT_161",0.111220263571182,-2.19624268740731,161
"TT_162",0.323948844451575,-1.12716966315049,162
"TT_163",0.261268512771153,-1.3422066159318,163
"TT_164",0.133857640003076,-2.01097843180216,164
"TT_165",0.107801900195425,-2.22745999361783,165
"TT_166",0.0957818875932117,-2.34568167666934,166
"TT_167",0.0887444006930236,-2.42199494339975,167
"TT_168",0.0840889046644125,-2.47588065097538,168
"TT_169",0.0824560343035175,-2.49549004522564,169
"TT_170",0.0816791986220342,-2.50495591636345,170
"TT_171",0.0809643563998312,-2.5137462656042,171
"TT_172",0.0803034304864306,-2.52194293806484,172
"TT_173",0.0796897829769176,-2.52961389491767,173
"TT_174",0.455695397729748,-0.785930680105523,174
"TT_175",0.138633603783017,-1.97592077007604,175
"TT_176",0.105711888642398,-2.24703791710066,176
"TT_177",0.0930138699554724,-2.37500665764289,177
